,elitism size,instance 0 value,instance 0 num stocks,instance 1 value,instance 1 num stocks,instance 2 value,instance 2 num stocks,instance 3 value,instance 3 num stocks,instance 4 value,instance 4 num stocks,instance 5 value,instance 5 num stocks,instance 6 value,instance 6 num stocks,instance 7 value,instance 7 num stocks,instance 8 value,instance 8 num stocks,instance 9 value,instance 9 num stocks,instance 10 value,instance 10 num stocks,instance 11 value,instance 11 num stocks,instance 12 value,instance 12 num stocks,instance 13 value,instance 13 num stocks,instance 14 value,instance 14 num stocks,instance 15 value,instance 15 num stocks,instance 16 value,instance 16 num stocks,instance 17 value,instance 17 num stocks,instance 18 value,instance 18 num stocks,instance 19 value,instance 19 num stocks,instance 20 value,instance 20 num stocks
0,0,615.0,16.0,328.0,19.0,7097.0,49.0,4614.0,50.0,679.0,33.0,98166.0,126.0,17314.0,94.0,13440.0,83.0,86787.0,161.0,66688.0,149.0,6227.0,80.0,541055.0,301.0,182439.0,234.0,76646.0,189.0,487943.0,335.0,290440.0,295.0,45163.0,170.0,2259343.0,597.0,974165.0,477.0,443455.0,389.0,2380341.0,683.0
1,0,1183.0,17.0,314.0,19.0,5623.0,48.0,3093.0,49.0,776.0,33.0,96948.0,126.0,18412.0,95.0,9939.0,82.0,74593.0,159.0,62402.0,151.0,5310.0,79.0,555769.0,302.0,186096.0,234.0,76481.0,190.0,486094.0,334.0,294103.0,296.0,46829.0,171.0,2319535.0,600.0,1034110.0,480.0,472398.0,392.0,2383604.0,684.0
2,0,620.0,16.0,335.0,19.0,5499.0,48.0,3214.0,49.0,1182.0,34.0,97360.0,126.0,17362.0,94.0,10598.0,82.0,88252.0,162.0,68515.0,151.0,8351.0,80.0,557932.0,302.0,180753.0,234.0,80665.0,189.0,507450.0,337.0,269973.0,292.0,49476.0,172.0,2266714.0,598.0,987314.0,478.0,493579.0,395.0,2302299.0,679.0
3,2,620.0,16.0,277.0,19.0,5691.0,48.0,4418.0,50.0,662.0,33.0,97326.0,126.0,19612.0,95.0,7768.0,80.0,89932.0,163.0,67406.0,152.0,7738.0,81.0,539594.0,301.0,188457.0,234.0,84970.0,192.0,490571.0,333.0,281447.0,295.0,35963.0,168.0,2319178.0,600.0,928797.0,473.0,468793.0,392.0,2516802.0,686.0
4,2,620.0,16.0,319.0,19.0,5763.0,48.0,3662.0,49.0,879.0,33.0,97666.0,126.0,24225.0,97.0,12555.0,83.0,75587.0,159.0,59790.0,151.0,6688.0,80.0,535517.0,301.0,166070.0,231.0,87295.0,191.0,499847.0,335.0,262599.0,290.0,42577.0,169.0,2253325.0,597.0,962156.0,478.0,453749.0,391.0,2355760.0,682.0
5,2,615.0,16.0,328.0,19.0,5935.0,48.0,3070.0,49.0,669.0,33.0,97290.0,126.0,15373.0,94.0,10473.0,82.0,90004.0,161.0,75551.0,153.0,9174.0,82.0,523077.0,300.0,176514.0,233.0,89284.0,191.0,524158.0,337.0,297731.0,296.0,48429.0,172.0,2262243.0,599.0,1000219.0,477.0,485075.0,394.0,2329612.0,683.0
6,4,627.0,16.0,284.0,19.0,6818.0,49.0,4215.0,50.0,576.0,33.0,97116.0,126.0,20726.0,95.0,10728.0,82.0,84932.0,161.0,61961.0,151.0,7366.0,81.0,550113.0,302.0,175682.0,233.0,86954.0,191.0,500031.0,335.0,295512.0,294.0,38282.0,168.0,2251533.0,598.0,964545.0,477.0,459033.0,389.0,2337324.0,678.0
7,4,615.0,16.0,344.0,19.0,7255.0,49.0,3819.0,49.0,359.0,32.0,96985.0,126.0,18399.0,95.0,9190.0,82.0,99283.0,164.0,65185.0,151.0,6296.0,80.0,533491.0,301.0,168396.0,232.0,85002.0,190.0,496245.0,335.0,309481.0,297.0,49605.0,172.0,2243885.0,598.0,1022215.0,479.0,451260.0,388.0,2364343.0,682.0
8,4,620.0,16.0,386.0,19.0,6035.0,48.0,2720.0,49.0,859.0,33.0,97343.0,126.0,24642.0,97.0,8736.0,82.0,85876.0,163.0,54342.0,148.0,6793.0,81.0,537102.0,301.0,185256.0,234.0,81442.0,191.0,494209.0,334.0,245636.0,291.0,46604.0,170.0,2295980.0,600.0,842202.0,468.0,474892.0,392.0,2370230.0,682.0
9,6,1172.0,17.0,221.0,19.0,5829.0,48.0,5557.0,51.0,835.0,33.0,97006.0,126.0,20619.0,95.0,9622.0,81.0,85036.0,161.0,62640.0,150.0,7727.0,81.0,554383.0,302.0,164397.0,232.0,82187.0,190.0,466871.0,334.0,302656.0,294.0,45567.0,170.0,2247137.0,598.0,1007944.0,478.0,491326.0,392.0,2317134.0,680.0
10,6,620.0,16.0,364.0,19.0,5359.0,48.0,4295.0,50.0,865.0,33.0,97513.0,126.0,16813.0,94.0,15750.0,85.0,90232.0,162.0,76998.0,154.0,6401.0,80.0,541737.0,301.0,167762.0,232.0,89824.0,193.0,482315.0,335.0,272131.0,293.0,46962.0,173.0,2281743.0,598.0,950402.0,477.0,467877.0,390.0,2321063.0,681.0
11,6,632.0,16.0,328.0,19.0,7209.0,49.0,6400.0,52.0,905.0,33.0,98013.0,126.0,22734.0,96.0,11973.0,83.0,86357.0,162.0,68686.0,151.0,6515.0,80.0,545176.0,301.0,172898.0,233.0,70396.0,188.0,492160.0,335.0,266179.0,293.0,49615.0,171.0,2324660.0,601.0,1034391.0,480.0,491484.0,393.0,2403042.0,684.0
12,8,620.0,16.0,305.0,19.0,7072.0,49.0,3531.0,50.0,799.0,33.0,96494.0,126.0,20386.0,95.0,8183.0,81.0,86602.0,161.0,60667.0,150.0,6921.0,80.0,547192.0,302.0,172734.0,232.0,70221.0,188.0,543504.0,339.0,252640.0,291.0,53616.0,172.0,2212386.0,597.0,986291.0,476.0,455733.0,390.0,2559003.0,690.0
13,8,615.0,16.0,370.0,19.0,5752.0,48.0,3932.0,50.0,718.0,33.0,97335.0,126.0,20873.0,96.0,10104.0,82.0,83777.0,162.0,68445.0,152.0,5656.0,80.0,553510.0,302.0,173601.0,233.0,81217.0,190.0,521915.0,335.0,291801.0,295.0,52822.0,172.0,2312049.0,599.0,994148.0,478.0,478755.0,392.0,2415823.0,683.0
14,8,625.0,16.0,397.0,19.0,7536.0,49.0,3714.0,49.0,581.0,33.0,96934.0,126.0,18868.0,95.0,9582.0,82.0,83422.0,161.0,68790.0,151.0,6863.0,80.0,541988.0,301.0,194269.0,236.0,88588.0,192.0,484086.0,334.0,266937.0,293.0,46168.0,172.0,2232047.0,597.0,1003420.0,477.0,483842.0,392.0,2474662.0,682.0
15,10,622.0,16.0,223.0,19.0,6061.0,48.0,3809.0,50.0,887.0,33.0,102695.0,127.0,19256.0,95.0,14107.0,84.0,74772.0,159.0,72171.0,152.0,5735.0,80.0,521266.0,299.0,188024.0,235.0,80690.0,190.0,483541.0,334.0,335972.0,298.0,44305.0,171.0,2341060.0,602.0,1032310.0,480.0,436527.0,389.0,2347692.0,681.0
16,10,617.0,16.0,272.0,19.0,5415.0,48.0,3783.0,49.0,1265.0,34.0,98292.0,126.0,20984.0,96.0,10304.0,82.0,92874.0,163.0,75902.0,153.0,8875.0,82.0,570101.0,304.0,187619.0,234.0,78822.0,190.0,515839.0,336.0,254174.0,291.0,46334.0,169.0,2361226.0,602.0,1047990.0,479.0,483524.0,392.0,2456128.0,682.0
17,10,708.0,16.0,410.0,19.0,5631.0,48.0,3193.0,49.0,1114.0,34.0,97426.0,126.0,19472.0,95.0,9470.0,82.0,85294.0,161.0,58005.0,149.0,7684.0,80.0,556193.0,302.0,169717.0,232.0,82898.0,190.0,469054.0,333.0,279089.0,294.0,51357.0,171.0,2289310.0,599.0,1002802.0,478.0,452133.0,389.0,2477126.0,684.0
