,initial_temp,min_temp,max_acc_solutions,instance 0 value,instance 0 num stocks,instance 1 value,instance 1 num stocks,instance 2 value,instance 2 num stocks,instance 3 value,instance 3 num stocks,instance 4 value,instance 4 num stocks,instance 5 value,instance 5 num stocks,instance 6 value,instance 6 num stocks,instance 7 value,instance 7 num stocks,instance 8 value,instance 8 num stocks,instance 9 value,instance 9 num stocks,instance 10 value,instance 10 num stocks,instance 11 value,instance 11 num stocks,instance 12 value,instance 12 num stocks,instance 13 value,instance 13 num stocks,instance 14 value,instance 14 num stocks,instance 15 value,instance 15 num stocks,instance 16 value,instance 16 num stocks,instance 17 value,instance 17 num stocks,instance 18 value,instance 18 num stocks,instance 19 value,instance 19 num stocks,instance 20 value,instance 20 num stocks
0,50,1,1,615.0,16.0,194.0,19.0,5300.0,48.0,1578.0,48.0,125.0,32.0,96322.0,126.0,8506.0,92.0,2627.0,78.0,38469.0,154.0,30845.0,146.0,1164.0,77.0,502078.0,299.0,67727.0,222.0,21955.0,179.0,248230.0,319.0,106860.0,279.0,13326.0,164.0,2079439.0,594.0,354453.0,444.0,172021.0,371.0,1299335.0,650.0
1,50,1,2,615.0,16.0,173.0,19.0,4929.0,48.0,1645.0,48.0,166.0,32.0,96388.0,126.0,6966.0,91.0,2185.0,78.0,49526.0,157.0,23726.0,143.0,1791.0,77.0,536846.0,302.0,46116.0,216.0,22536.0,179.0,254303.0,320.0,99545.0,277.0,15772.0,165.0,2130887.0,596.0,352454.0,444.0,173492.0,370.0,1226747.0,647.0
2,50,1,3,615.0,16.0,191.0,19.0,4904.0,48.0,1100.0,47.0,151.0,32.0,96374.0,126.0,7303.0,91.0,2542.0,78.0,44724.0,156.0,22657.0,143.0,1496.0,77.0,523507.0,301.0,45429.0,216.0,21762.0,179.0,232763.0,317.0,111355.0,281.0,13588.0,164.0,2085605.0,595.0,367641.0,446.0,167431.0,371.0,1252708.0,649.0
3,50,1,4,615.0,16.0,151.0,19.0,4922.0,48.0,1318.0,48.0,169.0,32.0,96382.0,126.0,6644.0,91.0,2024.0,78.0,37217.0,154.0,18499.0,141.0,955.0,76.0,500120.0,299.0,51932.0,218.0,23523.0,181.0,268363.0,321.0,84556.0,275.0,12743.0,163.0,2062251.0,593.0,406605.0,449.0,140152.0,365.0,1256373.0,648.0
4,50,1,5,615.0,16.0,163.0,19.0,4874.0,48.0,717.0,47.0,145.0,32.0,96378.0,126.0,6720.0,91.0,3228.0,79.0,42631.0,155.0,21245.0,142.0,1586.0,77.0,501413.0,299.0,52264.0,218.0,24591.0,181.0,211746.0,315.0,96770.0,277.0,11776.0,164.0,2134009.0,597.0,333198.0,444.0,153763.0,370.0,1228428.0,646.0
5,50,1,inf,615.0,16.0,158.0,19.0,4871.0,48.0,963.0,47.0,163.0,32.0,96279.0,126.0,6278.0,90.0,2133.0,78.0,44124.0,155.0,22840.0,143.0,2070.0,78.0,522679.0,301.0,48574.0,217.0,19879.0,179.0,229130.0,318.0,92410.0,276.0,13470.0,164.0,2103655.0,595.0,359357.0,446.0,164689.0,369.0,1252877.0,649.0
6,50,5,1,622.0,16.0,198.0,19.0,4911.0,48.0,1420.0,48.0,229.0,32.0,96269.0,126.0,5141.0,90.0,4100.0,80.0,53045.0,158.0,22248.0,143.0,1776.0,77.0,501238.0,299.0,44966.0,217.0,23876.0,180.0,239916.0,318.0,90299.0,277.0,16428.0,165.0,2084697.0,595.0,332215.0,443.0,157593.0,370.0,1156292.0,643.0
7,50,5,2,615.0,16.0,213.0,19.0,5136.0,48.0,1494.0,48.0,245.0,32.0,96255.0,126.0,7550.0,92.0,2757.0,79.0,42681.0,155.0,26644.0,144.0,1732.0,77.0,511501.0,300.0,48834.0,217.0,21495.0,179.0,242547.0,318.0,100836.0,278.0,11748.0,163.0,2087147.0,594.0,370570.0,447.0,173200.0,373.0,1169542.0,644.0
8,50,5,3,627.0,16.0,218.0,19.0,4879.0,48.0,1513.0,48.0,282.0,32.0,96219.0,126.0,6631.0,91.0,2473.0,79.0,45896.0,156.0,28225.0,145.0,1330.0,77.0,501854.0,299.0,48350.0,217.0,26442.0,182.0,230077.0,318.0,108679.0,280.0,11744.0,163.0,2026011.0,592.0,366580.0,446.0,161679.0,368.0,1210584.0,648.0
9,50,5,4,615.0,16.0,234.0,19.0,4919.0,48.0,787.0,47.0,202.0,32.0,96217.0,126.0,5403.0,90.0,3393.0,79.0,41823.0,155.0,26196.0,144.0,2244.0,78.0,523146.0,301.0,61874.0,220.0,22076.0,179.0,245295.0,320.0,80801.0,272.0,12925.0,163.0,2091642.0,595.0,357197.0,443.0,152880.0,369.0,1196709.0,645.0
