,mutation prob,"instance 0 value, num stocks","instance 1 value, num stocks","instance 2 value, num stocks","instance 3 value, num stocks","instance 4 value, num stocks","instance 5 value, num stocks","instance 6 value, num stocks","instance 7 value, num stocks","instance 8 value, num stocks","instance 9 value, num stocks","instance 10 value, num stocks","instance 11 value, num stocks","instance 12 value, num stocks","instance 13 value, num stocks","instance 14 value, num stocks","instance 15 value, num stocks","instance 16 value, num stocks","instance 17 value, num stocks","instance 18 value, num stocks","instance 19 value, num stocks","instance 20 value, num stocks"
0,0.03,"(1336, 17)","(843, 20)","(11649, 51)","(7484, 52)","(1638, 34)","(106677, 127)","(32829, 99)","(20798, 86)","(138837, 170)","(107805, 157)","(12584, 83)","(588297, 304)","(271210, 243)","(147155, 200)","(739792, 354)","(405713, 305)","(70728, 176)","(2551415, 609)","(1487933, 502)","(731470, 412)","(3159523, 708)"
1,0.03,"(1195, 17)","(556, 20)","(13217, 52)","(8060, 52)","(2026, 35)","(109298, 128)","(29169, 98)","(18988, 87)","(152475, 173)","(108621, 157)","(13708, 83)","(618589, 307)","(319805, 248)","(139918, 200)","(703502, 350)","(495315, 313)","(77111, 177)","(2616701, 611)","(1537439, 504)","(642925, 407)","(2777482, 699)"
2,0.03,"(1254, 17)","(727, 20)","(9433, 50)","(7228, 52)","(3129, 36)","(104178, 127)","(40605, 101)","(23902, 87)","(125830, 168)","(123015, 160)","(16491, 86)","(613987, 307)","(293320, 246)","(143723, 201)","(739079, 353)","(468443, 310)","(81562, 178)","(2515378, 607)","(1425626, 497)","(755678, 414)","(3217429, 714)"
3,0.04,"(623, 16)","(322, 19)","(9808, 50)","(6678, 51)","(1324, 33)","(109546, 128)","(50524, 104)","(18609, 85)","(132309, 169)","(83677, 155)","(10581, 82)","(603866, 305)","(319744, 249)","(142690, 200)","(676531, 348)","(425800, 309)","(74081, 178)","(2579363, 610)","(1307194, 494)","(653382, 408)","(2796355, 697)"
4,0.04,"(1172, 17)","(696, 20)","(11202, 51)","(7892, 52)","(1665, 34)","(108882, 128)","(34562, 99)","(28019, 89)","(134610, 169)","(107392, 158)","(10428, 82)","(586501, 304)","(327480, 250)","(147611, 203)","(679118, 349)","(461520, 312)","(67935, 175)","(2576076, 610)","(1306801, 493)","(636601, 405)","(3131738, 710)"
5,0.04,"(645, 16)","(469, 19)","(9861, 50)","(7466, 52)","(1367, 34)","(105425, 127)","(38324, 101)","(19217, 86)","(146494, 171)","(96892, 157)","(10506, 82)","(621042, 307)","(341936, 250)","(137233, 200)","(601760, 343)","(445246, 310)","(66599, 175)","(2543756, 608)","(1522861, 503)","(706861, 409)","(2778729, 699)"
6,0.05,"(1219, 17)","(838, 20)","(11398, 51)","(6463, 51)","(1618, 34)","(111380, 128)","(36071, 100)","(19594, 86)","(125369, 167)","(114619, 158)","(10164, 82)","(596545, 305)","(284390, 246)","(127662, 199)","(692761, 349)","(478007, 313)","(65358, 174)","(2465416, 607)","(1503619, 503)","(681891, 410)","(2702182, 693)"
7,0.05,"(1213, 17)","(373, 19)","(9661, 50)","(4475, 50)","(1554, 34)","(103975, 127)","(40229, 102)","(20422, 86)","(129673, 168)","(107971, 158)","(8350, 81)","(586399, 304)","(288145, 245)","(122112, 197)","(681628, 349)","(409016, 306)","(73930, 176)","(2663416, 613)","(1312741, 494)","(654851, 406)","(2974867, 704)"
8,0.05,"(658, 16)","(721, 20)","(9285, 50)","(7703, 52)","(1723, 34)","(103697, 127)","(34183, 100)","(19090, 86)","(134445, 169)","(108053, 158)","(10570, 82)","(602097, 305)","(311546, 248)","(134612, 200)","(671563, 348)","(423672, 307)","(72675, 176)","(2495665, 607)","(1429013, 500)","(651225, 406)","(2893043, 702)"
9,0.06,"(658, 16)","(441, 19)","(8780, 50)","(5640, 51)","(1424, 34)","(106120, 127)","(29910, 98)","(17344, 85)","(136773, 170)","(110536, 159)","(8822, 81)","(612439, 306)","(281295, 244)","(119331, 196)","(659280, 347)","(376372, 302)","(61156, 175)","(2496007, 606)","(1318838, 493)","(629048, 404)","(3034324, 705)"
