,elitism size,mc option,mutation prob,crossover prob,"instance 0 value, num stocks","instance 1 value, num stocks","instance 2 value, num stocks","instance 3 value, num stocks","instance 4 value, num stocks","instance 5 value, num stocks","instance 6 value, num stocks","instance 7 value, num stocks","instance 8 value, num stocks","instance 9 value, num stocks","instance 10 value, num stocks","instance 11 value, num stocks","instance 12 value, num stocks","instance 13 value, num stocks","instance 14 value, num stocks","instance 15 value, num stocks","instance 16 value, num stocks","instance 17 value, num stocks","instance 18 value, num stocks","instance 19 value, num stocks","instance 20 value, num stocks"
0,0,ILM/DHC,,,"(620, 16)","(274, 19)","(7328, 49)","(5305, 51)","(1014, 33)","(103058, 127)","(26353, 97)","(12793, 83)","(118492, 167)","(97425, 156)","(8409, 81)","(573937, 303)","(250943, 242)","(108933, 194)","(604481, 344)","(352721, 301)","(62126, 174)","(2478826, 605)","(1325641, 496)","(532945, 399)","(2758209, 694)"
1,0,DHM/ILC,,,"(720, 16)","(446, 19)","(6803, 49)","(4946, 50)","(1028, 33)","(103971, 127)","(33718, 100)","(14773, 84)","(122124, 168)","(91863, 156)","(8443, 81)","(580553, 304)","(259815, 243)","(123140, 197)","(627547, 344)","(310741, 296)","(58636, 173)","(2465161, 607)","(1149246, 486)","(587142, 401)","(2894418, 703)"
2,6,DHM/ILC,,,"(1188, 17)","(487, 19)","(6929, 49)","(6914, 52)","(1059, 33)","(97889, 126)","(25471, 97)","(13425, 82)","(118986, 168)","(108348, 158)","(8284, 81)","(572698, 303)","(238426, 240)","(104489, 195)","(543323, 339)","(363160, 301)","(59852, 174)","(2445065, 606)","(1297891, 492)","(623103, 403)","(2999531, 705)"
3,2,ILM/DHC,,,"(708, 16)","(365, 19)","(5942, 48)","(3575, 49)","(854, 33)","(97666, 126)","(32984, 99)","(12372, 82)","(99431, 163)","(81221, 152)","(7983, 80)","(573835, 303)","(240111, 240)","(99665, 194)","(633168, 345)","(341014, 298)","(48196, 172)","(2404906, 604)","(1153731, 487)","(610520, 402)","(2758898, 697)"
4,6,DHM/ILC,,,"(1194, 17)","(326, 19)","(8025, 49)","(5172, 51)","(1187, 34)","(104663, 127)","(28742, 98)","(14743, 84)","(107318, 165)","(82366, 154)","(8341, 81)","(591511, 304)","(220315, 238)","(96984, 193)","(606829, 345)","(390185, 305)","(54798, 171)","(2375681, 602)","(1426704, 499)","(576917, 400)","(2779017, 698)"
5,10,FIXED,0.15,0.7,"(618, 16)","(301, 19)","(5501, 48)","(5802, 51)","(909, 33)","(98200, 126)","(26186, 97)","(11119, 82)","(110089, 166)","(80797, 153)","(8799, 81)","(566116, 303)","(236407, 240)","(104040, 194)","(581615, 342)","(354831, 303)","(64593, 174)","(2454776, 606)","(1336680, 495)","(560535, 398)","(2755872, 696)"
6,0,DHM/ILC,,,"(1184, 17)","(777, 20)","(7800, 49)","(4744, 50)","(990, 33)","(97576, 126)","(28739, 98)","(16129, 85)","(106149, 165)","(90845, 155)","(8859, 81)","(540537, 301)","(260663, 242)","(108611, 196)","(593504, 342)","(391684, 305)","(59142, 175)","(2483657, 607)","(1208460, 489)","(550786, 401)","(2737008, 695)"
7,2,ILM/DHC,,,"(1186, 17)","(363, 19)","(6297, 48)","(5126, 50)","(481, 32)","(102245, 127)","(31238, 99)","(11675, 83)","(118555, 167)","(73562, 152)","(6966, 80)","(575878, 304)","(258486, 242)","(96882, 193)","(551418, 338)","(331640, 297)","(66432, 175)","(2427897, 604)","(1225860, 489)","(532218, 397)","(2798613, 698)"
8,0,ILM/DHC,,,"(680, 16)","(297, 19)","(5693, 48)","(5409, 51)","(1295, 34)","(104871, 127)","(23594, 96)","(12454, 83)","(102525, 164)","(88721, 156)","(8874, 82)","(564038, 303)","(232512, 240)","(112138, 195)","(575515, 341)","(310377, 297)","(55393, 173)","(2381388, 602)","(1256235, 491)","(571211, 400)","(2709516, 695)"
9,4,DHM/ILC,,,"(1182, 17)","(341, 19)","(8522, 50)","(5881, 51)","(684, 33)","(98051, 126)","(25941, 97)","(15417, 84)","(117282, 167)","(91829, 155)","(9605, 81)","(568136, 302)","(273627, 245)","(105155, 195)","(555208, 340)","(333553, 300)","(54836, 172)","(2441280, 605)","(1339857, 495)","(509184, 396)","(2931870, 702)"
