,crossover prob,"instance 0 value, num stocks","instance 1 value, num stocks","instance 2 value, num stocks","instance 3 value, num stocks","instance 4 value, num stocks","instance 5 value, num stocks","instance 6 value, num stocks","instance 7 value, num stocks","instance 8 value, num stocks","instance 9 value, num stocks","instance 10 value, num stocks","instance 11 value, num stocks","instance 12 value, num stocks","instance 13 value, num stocks","instance 14 value, num stocks","instance 15 value, num stocks","instance 16 value, num stocks","instance 17 value, num stocks","instance 18 value, num stocks","instance 19 value, num stocks","instance 20 value, num stocks"
0,0.6,"(617, 16)","(449, 19)","(7192, 49)","(6694, 52)","(1504, 34)","(106382, 127)","(31768, 99)","(19584, 86)","(119762, 168)","(94254, 155)","(11020, 83)","(592680, 305)","(289694, 246)","(122063, 197)","(638469, 345)","(425552, 308)","(63909, 173)","(2513691, 607)","(1450344, 499)","(657481, 407)","(2869850, 701)"
1,0.6,"(688, 16)","(350, 19)","(10275, 51)","(5925, 51)","(1723, 34)","(99015, 126)","(40451, 102)","(16106, 84)","(134018, 169)","(99653, 157)","(10143, 81)","(584305, 304)","(285477, 245)","(129309, 198)","(655246, 347)","(408102, 305)","(66137, 174)","(2473204, 607)","(1464122, 501)","(635911, 403)","(2955573, 703)"
2,0.6,"(1254, 17)","(445, 19)","(11033, 51)","(5712, 51)","(1079, 33)","(104188, 127)","(31038, 98)","(15582, 84)","(119972, 168)","(98632, 157)","(10854, 82)","(599519, 305)","(315246, 248)","(98129, 193)","(627380, 345)","(414904, 307)","(69371, 175)","(2498452, 608)","(1478580, 501)","(642866, 404)","(2894495, 700)"
3,0.7,"(667, 16)","(425, 19)","(9487, 50)","(7799, 52)","(1292, 34)","(103899, 127)","(37182, 100)","(14499, 83)","(112589, 166)","(100400, 158)","(11315, 83)","(572260, 303)","(290015, 245)","(119580, 197)","(618823, 345)","(404618, 306)","(64795, 175)","(2520716, 607)","(1448692, 500)","(627533, 404)","(2861154, 701)"
4,0.7,"(623, 16)","(654, 20)","(11013, 51)","(6427, 51)","(1017, 33)","(100786, 126)","(32926, 99)","(15902, 85)","(133960, 168)","(100057, 157)","(10562, 82)","(594588, 305)","(274207, 244)","(123702, 197)","(645696, 347)","(377072, 303)","(66030, 175)","(2467132, 606)","(1374412, 495)","(598242, 401)","(2926747, 704)"
5,0.7,"(1192, 17)","(369, 19)","(10734, 51)","(4837, 50)","(1414, 34)","(103659, 127)","(37213, 101)","(16769, 85)","(121842, 168)","(91155, 155)","(9712, 81)","(598229, 305)","(309227, 247)","(123017, 198)","(654211, 347)","(402260, 306)","(69527, 176)","(2518274, 608)","(1465346, 500)","(661994, 407)","(2925130, 702)"
6,0.75,"(1193, 17)","(602, 20)","(7979, 49)","(4867, 50)","(1460, 34)","(103666, 127)","(29461, 98)","(18686, 86)","(108849, 165)","(97578, 156)","(9568, 82)","(601523, 306)","(280044, 244)","(117387, 197)","(601983, 343)","(386059, 303)","(55556, 172)","(2553621, 609)","(1503502, 501)","(639067, 405)","(3125889, 709)"
7,0.75,"(618, 16)","(502, 19)","(9293, 50)","(5259, 50)","(1493, 34)","(103668, 127)","(29363, 98)","(18394, 85)","(118507, 167)","(115232, 160)","(10298, 81)","(578605, 304)","(268794, 244)","(103950, 194)","(657567, 348)","(415103, 306)","(59949, 173)","(2469552, 606)","(1464259, 500)","(647197, 405)","(3017001, 706)"
8,0.75,"(624, 16)","(658, 20)","(8318, 50)","(6146, 51)","(1377, 34)","(99116, 126)","(38899, 101)","(17219, 85)","(126952, 166)","(98480, 157)","(9483, 82)","(583808, 304)","(281517, 246)","(116124, 196)","(689591, 348)","(419754, 305)","(66584, 174)","(2506379, 608)","(1519431, 503)","(606120, 401)","(2896378, 703)"
9,0.8,"(642, 16)","(392, 19)","(9931, 50)","(6114, 51)","(1282, 34)","(104911, 127)","(37130, 100)","(15967, 85)","(109442, 165)","(94562, 156)","(10720, 82)","(611163, 306)","(317955, 248)","(119112, 198)","(620011, 343)","(402258, 308)","(70283, 175)","(2377212, 602)","(1503370, 501)","(668632, 409)","(3029788, 708)"
