,selection,crossover,mutation,time,instance 0 value,instance 0 num stocks,instance 1 value,instance 1 num stocks,instance 2 value,instance 2 num stocks,instance 3 value,instance 3 num stocks,instance 4 value,instance 4 num stocks,instance 5 value,instance 5 num stocks,instance 6 value,instance 6 num stocks,instance 7 value,instance 7 num stocks,instance 8 value,instance 8 num stocks,instance 9 value,instance 9 num stocks,instance 10 value,instance 10 num stocks,instance 11 value,instance 11 num stocks,instance 12 value,instance 12 num stocks,instance 13 value,instance 13 num stocks,instance 14 value,instance 14 num stocks,instance 15 value,instance 15 num stocks,instance 16 value,instance 16 num stocks,instance 17 value,instance 17 num stocks,instance 18 value,instance 18 num stocks,instance 19 value,instance 19 num stocks,instance 20 value,instance 20 num stocks
0,tournament_selection,precedence_preservative_crossover,mutation_insert,185.855267581999,1262,17,457,19,7775,49,5298,50,991,33,98085,126,38747,101,19522,86,107588,164,90529,155,6478,80,597112,305,268302,244,110675,196,655132,345,435762,309,59479,173,2577662,611,1452931,499,619993,403,2886014,701
1,tournament_selection,precedence_preservative_crossover,mutation_inverse,137.429919372998,1202,17,348,19,9647,50,7234,52,1451,34,106726,127,44747,102,19712,86,135915,169,103907,157,11507,82,589060,304,342906,250,132983,200,667672,346,411440,305,69882,176,2488780,606,1655964,509,742527,413,2978341,705
2,tournament_selection,precedence_preservative_crossover,mutation_swap,136.750941091999,669,16,426,19,8788,50,5628,51,1047,33,103298,127,29164,98,17993,85,107876,165,82802,153,11495,82,562160,302,255600,242,109924,196,592259,342,390063,303,63833,174,2419205,603,1280420,492,555959,398,2955108,704
3,tournament_selection,generalized_order_crossover,mutation_insert,282.762495412,615,16,334,19,5481,48,4249,50,636,33,97672,126,26411,97,13616,84,93439,162,64441,150,8669,82,560207,303,198005,236,85021,190,475022,333,319384,297,49734,171,2497485,607,1053485,480,473971,395,2532597,685
4,tournament_selection,generalized_order_crossover,mutation_inverse,285.106877447999,632,16,311,19,7773,49,4809,50,1269,34,98178,126,32617,99,15528,84,108100,165,91134,154,9399,82,551047,301,219794,239,112702,195,616602,343,336923,299,58295,173,2362478,601,1129298,484,592653,402,2482226,686
5,tournament_selection,generalized_order_crossover,mutation_swap,286.356996773,615,16,324,19,5677,48,3566,49,1072,34,102833,127,24164,96,11153,82,82518,161,68611,151,8511,81,538635,301,165365,232,81257,190,456180,331,315186,297,46136,170,2332668,601,1038769,480,503506,394,2454636,687
6,tournament_selection,partially_mapped_crossover,mutation_insert,552.026107497,629,16,411,19,7704,49,3718,49,949,33,101541,127,25829,98,14359,84,85939,161,77801,154,7771,81,586666,304,190417,235,102838,194,550185,342,346708,303,54308,172,2229337,596,1067366,481,539365,399,2584930,690
7,tournament_selection,partially_mapped_crossover,mutation_inverse,550.673204053001,621,16,343,19,7000,49,4447,50,1023,33,103255,127,25333,97,12707,83,114236,166,78939,152,13264,83,590403,304,238640,240,112314,196,590538,341,417759,309,63554,173,2419836,602,1312548,493,555446,398,2785158,700
8,tournament_selection,partially_mapped_crossover,mutation_swap,548.152782516001,638,16,236,19,7408,49,3465,49,1166,34,97649,126,20522,95,11348,83,94986,163,61764,149,8024,81,552467,302,208557,237,80146,190,498974,336,268743,293,44369,170,2359705,603,1052697,479,468385,392,2299470,679
9,roulette_selection,precedence_preservative_crossover,mutation_insert,184.168391677002,1264,17,673,20,15016,52,12515,55,3224,35,113502,128,64476,106,32106,89,184902,175,150332,164,21500,85,672166,309,486043,262,224302,209,908803,363,662548,325,122758,184,2895469,619,2160985,531,971057,424,3699147,727
10,roulette_selection,precedence_preservative_crossover,mutation_inverse,190.514776733002,1161,17,730,20,16400,53,9804,53,2692,35,117820,129,71344,108,34174,90,197788,177,173400,167,23342,86,665375,308,500866,263,215920,210,862280,360,679552,328,111585,181,2892316,620,2168911,529,1019431,428,3906726,732
11,roulette_selection,precedence_preservative_crossover,mutation_swap,186.475934237998,1163,17,1306,21,14224,52,11493,54,3666,36,120654,129,50830,103,32160,88,197308,178,172551,166,21208,86,667707,308,485157,262,211077,208,937848,364,655665,325,111126,181,2808736,616,2096578,526,978136,426,3894680,734
12,roulette_selection,generalized_order_crossover,mutation_insert,327.137136832,645,16,337,19,8672,49,8329,52,1275,34,107102,127,36784,100,20399,84,153906,172,149610,164,14532,84,612276,304,344479,250,162446,201,799388,356,549891,316,93694,179,2670222,609,1702675,511,837694,415,3457901,717
13,roulette_selection,generalized_order_crossover,mutation_inverse,328.339194306001,626,16,389,19,8185,49,9513,52,1102,33,104206,126,43015,101,22380,86,178110,175,139213,162,15517,83,638980,307,366907,252,183713,203,805925,358,545826,318,103581,180,2693186,610,1739916,512,853866,420,3368884,715
14,roulette_selection,generalized_order_crossover,mutation_swap,339.938859493002,640,16,383,19,8576,49,6152,51,1120,33,108747,127,58002,105,29267,88,166865,173,138821,161,17713,84,594396,303,368000,252,171449,203,774302,353,548452,317,82683,176,2620188,609,1797523,513,922188,419,3507746,723
15,roulette_selection,partially_mapped_crossover,mutation_insert,587.726209603003,1159,17,443,19,8046,49,7674,52,783,33,100994,126,39063,100,15975,84,155920,172,131298,160,12099,82,618153,304,350888,250,154869,201,688518,347,456536,310,72317,175,2563450,607,1542110,504,707629,409,3044039,705
16,roulette_selection,partially_mapped_crossover,mutation_inverse,583.266488795001,1182,17,326,19,13718,52,7813,51,1649,34,109002,127,42005,101,23537,86,157997,172,122734,159,15271,83,602349,303,339635,248,164124,201,716535,351,511633,314,83260,177,2504222,604,1712409,509,816452,414,3392975,717
17,roulette_selection,partially_mapped_crossover,mutation_swap,582.698107148,620,16,446,19,11599,51,5907,50,956,33,105967,127,38201,100,19094,85,168490,173,133900,161,13321,83,603645,304,340778,250,140936,198,658633,345,472804,311,84882,177,2582493,607,1474006,499,663295,404,3215975,712
18,rank_selection,precedence_preservative_crossover,mutation_insert,198.892759404003,665,16,1033,20,13789,52,11048,54,1844,34,113989,128,53156,104,34162,90,200730,176,142845,162,17847,84,628847,306,421349,257,206872,209,889867,362,617538,322,115571,183,2741762,615,2036043,524,951058,424,3821759,729
19,rank_selection,precedence_preservative_crossover,mutation_inverse,204.291354680001,1293,17,1293,20,15595,53,13895,55,2686,34,106233,127,60308,105,29454,88,185345,176,172928,165,23264,87,676009,309,467403,261,206112,208,903535,361,657272,326,118661,183,2832721,618,2106805,525,927719,424,3828860,736
20,rank_selection,precedence_preservative_crossover,mutation_swap,195.055476811998,1234,17,1127,20,14198,52,10532,53,2472,35,110660,127,54352,104,33923,89,178487,175,156393,164,19545,86,603217,305,493117,262,219098,209,943233,364,560691,317,105743,178,2771873,617,1989789,522,942243,424,3455982,719
21,rank_selection,generalized_order_crossover,mutation_insert,323.365292400998,620,16,950,20,7440,49,7797,51,1848,34,99859,126,32345,98,22569,86,134901,168,108607,157,12559,83,588831,303,339035,249,144430,199,678056,348,463844,309,82993,177,2508690,605,1584601,506,690289,406,3028331,703
22,rank_selection,generalized_order_crossover,mutation_inverse,323.132504773999,617,16,683,20,7889,49,9843,53,1736,34,104985,127,52854,104,22711,86,140555,170,110363,157,14976,83,562288,301,364109,252,153585,200,715916,352,481020,313,76604,176,2549996,606,1639675,509,728392,409,3323738,715
23,rank_selection,generalized_order_crossover,mutation_swap,323.534396912997,629,16,326,19,7956,49,5945,51,1628,34,99033,126,32215,98,20074,86,131904,167,112430,157,14377,83,569786,301,294810,246,171147,203,632130,343,432882,310,73405,176,2414599,601,1592763,505,795187,414,3117180,709
24,rank_selection,partially_mapped_crossover,mutation_insert,579.046948804,628,16,687,20,8666,50,4731,50,1304,34,98010,126,28974,98,16593,84,105463,162,94585,154,9946,81,535380,300,253434,241,132095,198,586672,340,371457,303,62577,174,2408872,601,1397005,496,588650,400,2957638,701
25,rank_selection,partially_mapped_crossover,mutation_inverse,579.261244394998,621,16,698,20,8045,49,5218,50,1201,33,98239,126,32812,98,20010,85,132170,167,99699,156,10819,82,570058,302,300915,246,137733,197,652272,346,392123,304,60011,172,2374690,600,1297807,493,701251,408,3194956,710
26,rank_selection,partially_mapped_crossover,mutation_swap,583.056269712,640,16,345,19,7868,49,4687,50,1117,33,98643,126,27744,96,18032,84,109296,164,96803,156,11220,82,577298,303,264639,242,99147,191,589139,341,374995,302,58831,172,2490030,604,1237129,487,613272,401,2766690,696
27,tournament_selection,precedence_preservative_crossover,mutation_shuffle,310.331088394996,1271,17,883,20,13120,52,9074,52,2311,35,105892,127,46115,103,24227,88,143144,170,115262,159,15083,85,623072,307,339094,249,130627,197,715751,351,489873,312,82914,178,2516893,608,1490465,503,639136,404,3025181,705
28,tournament_selection,generalized_order_crossover,mutation_shuffle,615.760236556002,633,16,796,20,9409,50,7916,52,1932,34,102824,127,34117,99,19045,85,125823,167,76087,151,12753,82,563303,302,250129,241,122445,197,600244,344,449900,308,61074,173,2475225,605,1304773,493,666123,406,2629252,691
29,tournament_selection,partially_mapped_crossover,mutation_shuffle,1427.778796074,1123,17,302,19,11306,51,6488,51,1626,34,104652,127,33081,99,24466,87,121583,166,119314,159,14514,83,573042,302,332801,248,143306,199,721747,349,419530,307,86021,177,2521628,606,1514389,503,730704,410,3195439,710
30,roulette_selection,precedence_preservative_crossover,mutation_shuffle,469.593307581003,1317,17,965,20,15310,52,12859,54,3233,36,113618,128,68497,107,34160,90,207234,179,175510,166,24064,87,683109,309,479118,263,241363,212,908308,362,660762,325,122575,184,2828488,618,2163381,527,1005714,429,3761736,728
31,roulette_selection,generalized_order_crossover,mutation_shuffle,540.993651965,615,16,387,19,7979,49,7461,51,1705,34,108198,127,55013,105,21001,85,173372,174,145754,163,18026,84,622783,306,425120,257,172750,204,754462,352,564742,317,97736,179,2662432,611,1809262,513,935637,421,3379863,715
32,roulette_selection,partially_mapped_crossover,mutation_shuffle,584.383719967998,652,16,399,19,8484,49,4913,50,1089,33,107997,127,39756,100,20720,85,138327,169,118636,158,12947,83,563630,301,277132,245,143448,199,749747,352,530384,315,66702,173,2582372,606,1624903,507,726245,410,3374656,714
33,rank_selection,precedence_preservative_crossover,mutation_shuffle,201.698493095006,2013,18,820,20,13938,52,11734,54,2850,35,109388,127,60359,105,30465,88,209994,179,147437,163,20109,85,656412,308,464785,260,201518,206,917825,362,599940,321,113147,182,2869070,619,1958226,521,958507,424,3854793,734
32,rank_selection,generalized_order_crossover,mutation_shuffle,375.445683735001,628,16,381,19,9861,50,6309,51,1875,34,103558,127,39335,100,23663,86,143413,169,122971,159,16615,83,565016,301,306310,247,140035,198,706533,351,418475,305,75678,176,2559449,606,1483265,502,818164,416,3214008,710
35,rank_selection,partially_mapped_crossover,mutation_shuffle,615.033576070004,1180,17,650,20,7776,49,8213,52,1126,33,99197,126,35796,100,20473,85,125440,167,105964,156,11294,82,565920,302,282574,245,138302,198,650347,345,444314,307,69107,172,2423400,601,1528064,503,705121,409,2997020,702
