,make_small_change function,instance 0 value,instance 0 num stocks,instance 1 value,instance 1 num stocks,instance 2 value,instance 2 num stocks,instance 3 value,instance 3 num stocks,instance 4 value,instance 4 num stocks,instance 5 value,instance 5 num stocks,instance 6 value,instance 6 num stocks,instance 7 value,instance 7 num stocks,instance 8 value,instance 8 num stocks,instance 9 value,instance 9 num stocks,instance 10 value,instance 10 num stocks,instance 11 value,instance 11 num stocks,instance 12 value,instance 12 num stocks,instance 13 value,instance 13 num stocks,instance 14 value,instance 14 num stocks,instance 15 value,instance 15 num stocks,instance 16 value,instance 16 num stocks,instance 17 value,instance 17 num stocks,instance 18 value,instance 18 num stocks,instance 19 value,instance 19 num stocks,instance 20 value,instance 20 num stocks
0,swap,615,16,155,19,4989,48,1595,48,148,32,101395,127,6628,91,3076,79,45465,156,20744,142,2391,78,511658,300,52111,218,21862,179,238993,317,93669,277,10610,162,2090319,595,297294,439,165229,369,1232905,647
1,swap,615,16,180,19,4880,48,1629,48,168,32,96289,126,6421,91,3014,79,47680,156,24851,144,1250,77,500433,299,43733,216,22197,181,247139,319,101075,277,13501,164,2072887,594,343263,445,152071,367,1228052,647
2,swap,615,16,147,19,4854,48,943,47,208,32,96186,126,5382,90,1572,77,44186,155,30037,145,1255,77,510671,300,55172,219,20332,179,235379,317,99488,277,15838,165,2116302,596,329532,442,151694,369,1202816,645
3,swap,615,16,171,19,4883,48,1416,48,401,33,96418,126,6671,91,2959,79,43397,155,29956,145,1904,78,511361,300,48193,217,32211,183,240671,318,99942,277,12222,164,2130557,597,349647,444,154514,367,1221618,645
4,swap,615,16,167,19,4879,48,1408,48,353,33,96538,126,6889,91,3451,80,46591,157,22763,143,2435,79,500948,299,55874,219,21404,179,235575,319,106833,279,12772,164,2137846,597,321258,441,170974,371,1226316,650
5,insert,620,16,206,19,4879,48,1607,48,215,32,96350,126,7923,91,4485,79,46597,156,32586,146,2939,78,523222,301,67761,219,21656,178,265818,320,102050,278,19691,166,2102406,595,475606,450,189970,372,1475781,655
6,insert,618,16,256,19,4864,48,838,47,223,32,97048,126,7050,90,3469,79,43592,155,32413,146,1528,77,523827,301,60792,219,28154,181,285557,322,108249,278,19761,166,2185521,598,446400,450,184998,370,1430983,654
7,insert,617,16,235,19,4960,48,1160,47,304,32,96233,126,9674,92,4614,79,44443,155,26028,144,2001,77,524336,301,61422,218,26815,179,284723,323,91471,276,15194,164,2168857,598,430775,448,199945,373,1399405,653
8,insert,615,16,226,19,5256,48,1678,48,232,32,96543,126,7333,91,3365,79,59609,158,26644,144,2728,78,527346,301,58183,218,34439,183,280717,321,115526,278,17111,163,2130093,596,406046,446,196737,372,1419908,654
9,insert,617,16,244,19,4933,48,1774,48,275,32,96749,126,6918,90,3578,79,57138,158,33717,146,2372,78,512488,300,59526,218,27216,180,281756,321,102303,277,16326,163,2112075,595,442805,449,196560,372,1464719,654
10,inverse,615,16,133,19,5598,48,2543,49,188,32,97002,126,12356,93,5440,79,85684,162,57180,149,4730,79,574073,303,129565,228,66429,187,453406,332,260741,292,39026,168,2352021,601,1010672,479,544268,399,2805333,701
11,inverse,615,16,181,19,5415,48,1916,48,281,32,97695,126,9017,91,5402,80,71996,159,64814,151,3742,78,577697,304,152430,231,74325,189,469096,333,288916,295,43897,169,2434716,604,1080380,482,524567,397,2635409,693
12,inverse,615,16,198,19,5064,48,2640,49,226,32,102511,127,9184,91,7212,81,75557,160,60306,150,3469,78,558272,302,127835,227,80583,191,458725,332,258689,292,40448,169,2411554,602,1026956,480,558846,398,2463503,688
13,inverse,615,16,175,19,5118,48,2902,49,332,32,97477,126,13033,93,6410,81,72721,160,67832,151,5168,79,541322,301,129875,228,56421,186,511725,336,290977,295,41724,169,2408411,603,1163934,484,506288,395,2295910,681
14,inverse,615,16,195,19,5332,48,1732,48,222,32,97046,126,12228,92,6159,80,71991,159,57700,149,3825,78,557299,302,141669,229,76809,190,442330,331,284542,294,39052,169,2475615,605,942659,475,511371,395,2436617,686
15,shuffle,636,16,631,20,9306,50,6282,52,1231,34,104853,127,34618,100,11693,83,106759,165,82211,154,10941,83,560858,302,277879,245,102504,196,603462,343,357985,303,68465,174,2391501,602,1349864,496,600781,402,2863935,702
16,shuffle,638,16,296,19,8381,50,6873,52,1275,34,103696,127,27294,98,16435,85,122517,167,82324,154,8685,81,574230,304,252913,243,113278,197,603061,343,396495,307,57752,173,2383972,603,1468442,502,588445,404,2784477,699
17,shuffle,636,16,619,20,7939,49,5000,50,947,33,104031,127,38097,101,15682,85,114990,166,70656,151,10745,83,571699,304,276512,245,112406,196,598216,342,384377,306,58145,173,2385493,603,1221003,488,596189,402,2935356,703
18,shuffle,1021,17,564,20,8447,50,4711,50,1291,34,104144,127,30905,99,13753,85,125160,168,89536,155,11356,83,551054,301,280482,245,123772,197,534630,337,369414,303,57055,173,2432301,604,1363149,497,564460,401,2755390,694
19,shuffle,701,16,264,19,7768,49,6586,52,1183,34,103660,127,34544,100,13863,83,119562,167,94633,156,9327,82,562597,303,272907,244,97480,194,627557,345,345159,301,66444,175,2426690,604,1368625,496,582129,403,2935814,705
